yyww,cmkt,csize,cmom,return,risk-free
201404,-0.068,-0.022,-0.27,-0.009410767,0.055
201405,0.016,-0.121,-0.007,-0.161201779,0.045
201406,-0.184,-0.067,0.057,-0.242619887,0.015
201407,-0.071,0.08,0.129,-0.161930105,0.04
201408,-0.142,-0.115,-0.086,0.338606115,0.048
201409,0.227,-0.205,-0.149,0.03859293,0.045
201410,-0.053,-0.028,0.15,0.010424695,0.05
201411,-0.033,-0.324,-0.015,-0.043674539,0.045
201412,-0.065,0.236,-0.132,-0.072900634,0.03
201413,-0.189,-0.118,0.097,-0.019073509,0.025
201414,-0.063,-0.008,0.084,-0.018458594,0.03
201415,0.141,-0.096,0.22,0.063073204,0.025
201416,-0.053,-0.086,0.079,-0.043379873,0.015
201417,-0.088,0.029,-0.09,-0.018702016,0.02
201418,-0.039,-0.108,-0.066,0.012973714,0.02
201419,0.028,-0.04,0.106,0.000864077,0.025
201420,0.098,-0.019,0.205,0.060514316,0.028
201421,0.163,-0.234,0.056,0.081469749,0.03
201422,0.16,-0.017,0.186,0.016157238,0.035
201423,-0.022,0.023,-0.012,-0.048081296,0.033
201424,-0.068,-0.159,-0.115,0.010007906,0.022
201425,-0.047,-0.159,0.121,0.000436258,0.025
201426,0.084,-0.118,0.266,0.018077458,0.025
201427,-0.026,-0.027,-0.093,0.008900778,0.02
201428,-0.003,-0.072,0.127,-0.006121284,0.02
201429,0.001,-0.083,-0.057,-0.022021281,0.028
201430,-0.062,-0.071,0.315,-0.00314469,0.025
201431,-0.002,-0.059,-0.108,-0.00161776,0.025
201432,-0.036,0.027,-0.038,-0.052813306,0.025
201433,-0.147,-0.135,-0.002,-0.020702862,0.025
201434,0.064,0.078,0.445,0.007182876,0.02
201435,-0.072,-0.021,-0.079,-0.018856735,0.015
201436,0.003,0.004,0.095,-0.00568421,0.015
201437,-0.014,0.158,-0.2,-0.065239732,0.007
201438,-0.064,0.009,0.008,-0.013396944,0.013
201439,-0.106,-0.082,0.057,-0.075539342,0.01
201440,-0.127,0.052,-0.015,0.032314188,0.005
201441,0.176,-0.033,-0.041,0.034317929,0.018
201442,-0.036,-0.128,-0.051,-0.052111829,0.015
201443,-0.074,-0.022,-0.04,-0.027536293,0.022
201444,-0.075,-0.006,-0.039,0.023509193,0.015
201445,0.107,-0.042,0.05,0.037988699,0.015
201446,0.02,0.097,0.242,-0.027372777,0.018
201447,0.023,-0.069,-0.055,0.028991555,0.015
201448,0.033,0.126,0.088,0,0.028
201449,-0.061,-0.009,0.159,-0.033705452,0.03
201450,-0.036,0.02,0.235,-0.022788728,0.02
201451,0.034,0.067,0.303,-0.020316068,0.02
201452,0,0.061,-0.03,-0.040690778,0.02
201501,-0.107,0.267,-0.058,-0.021234682,0.023
201502,-0.381,0.003,0.294,-0.136637973,0.008
201503,0.251,-0.052,-0.052,0.09464124,0.018
201504,0.013,-0.14,-0.159,-0.055350336,0.015
201505,-0.042,0.035,0.005,0.017911589,0.005
201506,-0.028,-0.061,0.258,0.05526549,0.008
201507,0.064,-0.012,0.113,-0.024527319,0.018
201508,0.003,0.083,-0.148,0.016903463,0.013
201509,0.1,0.234,0.305,0.034170075,0.01
201510,0.077,-0.055,0.037,0.010457911,0.048
201511,-0.122,-0.023,-0.195,-0.035160701,0.015
201512,-0.045,0,0.235,-0.013071409,0.025
201513,-0.01,0.07,0.029,0.001548289,0.015
201514,0.003,-0.005,-0.166,-0.029117684,0.01
201515,-0.093,-0.059,-0.197,-0.024747976,0.02
201516,0.043,-0.24,0.061,0.005217394,0.013
201517,-0.037,0.053,0.098,0.017321365,0.008
201518,0.014,-0.043,0.094,0.011115339,0.013
201519,0.02,0.08,-0.139,-0.009457372,0.01
201520,-0.008,0.548,0.708,0.004936256,0.01
201521,0.023,-0.044,0.146,-0.010487604,0.01
201522,-0.038,-0.021,-0.209,-0.016125474,0.013
201523,0.015,-0.012,0.457,0.014819885,0.008
201524,0.11,0.013,-0.037,0.022743127,0.008
201525,-0.025,-0.049,0.024,0.00998825,0.01
201526,0.081,0.017,0.287,0.016653394,0.01
201527,0.052,0.01,0.295,0.049575124,0.01
201528,0.025,-0.019,-0.069,-0.027632289,0.03
201529,-0.037,-0.016,0.005,0.022696221,0.043
201530,0.056,-0.067,0.106,-0.012513918,0.075
201531,-0.031,-0.041,0.041,-0.035304345,0.098
201532,-0.054,-0.044,-0.126,0.003179207,0.085
201533,-0.144,-0.027,0.013,-0.055025038,0.053
201534,-0.014,-0.001,-0.045,-0.001896485,0.038
201535,0.016,0.034,0.008,0.009772508,0.025
201536,0.034,0.019,-0.132,0.003516574,0.058
201537,-0.043,-0.03,0.014,-0.008375341,0.003
201538,-0.001,-0.065,0.09,0.005972343,0.003
201539,0.009,-0.025,0.099,0.007898151,0.005
201540,0.022,0.036,0.055,0.012204119,0.005
201541,0.031,-0.077,-0.003,0.040845329,0.01
201542,0.041,-0.059,0.03,0.02045227,0.01
201543,0.14,0.017,0.041,0.041867431,0.058
201544,0.33,-0.226,0.279,0.09253393,0.125
201545,-0.239,0.093,-0.219,-0.064697137,0.135
201546,0.075,-0.126,-0.02,-0.009394093,0.153
201547,-0.018,0.017,0.059,0.039723655,0.203
201548,0.084,-0.155,-0.001,0.036168228,0.268
201549,0.178,-0.147,-0.126,0.048411063,0.25
201550,0.078,0.086,-0.156,0.028104063,0.193
201551,-0.031,0.094,-0.078,-0.045422806,0.215
201552,-0.049,-0.023,-0.051,0.01872293,0.205
201601,0.06,-0.076,0.052,0.014379317,0.21
201602,-0.053,0.028,0.073,-0.066108009,0.23
201603,-0.042,0.003,0.196,0.004042067,0.3
201604,-0.048,0.098,0.376,-0.012240843,0.33
201605,0.023,-0.055,-0.124,-0.001266333,0.3
201606,0.022,0,0.457,0.01518033,0.273
201607,0.088,0.095,-0.198,0.052375418,0.318
201608,0.021,-0.098,0.181,-0.00877191,0.32
201609,0.029,-0.003,0.275,-0.033806562,0.305
201610,0.016,0.011,-0.036,0.012234456,0.325
201611,0.004,0.082,0.172,-0.001802714,0.295
201612,-0.005,-0.002,0.011,0.008210368,0.225
201613,-0.002,0.037,-0.089,0.002080457,0.218
201614,-0.005,0.071,-0.055,-0.000519181,0.23
201615,-0.019,0.089,-0.041,0.012292174,0.215
201616,0.052,0.032,0.069,0.019840557,0.245
201617,-0.014,-0.024,-0.025,-0.001546566,0.203
201618,0.024,-0.059,-0.142,0.009576893,0.243
201619,0.014,-0.011,0.005,-0.001993704,0.268
201620,0.014,-0.014,0.158,-0.012354098,0.343
201621,0.007,-0.06,0.069,0.072505479,0.283
201622,0.165,-0.078,0.083,0.037899012,0.265
201623,0.063,0.081,0.029,0.014632137,0.263
201624,0.333,-0.054,0.002,0.105227968,0.265
201625,-0.202,0.097,0.23,-0.055415206,0.26
201626,0.065,0.244,0.367,0.022076711,0.238
201627,-0.062,0.054,0.006,-0.029803282,0.295
201628,0.056,-0.016,0.116,0.005889951,0.31
201629,0.015,0.012,-0.132,-0.003630418,0.308
201630,-0.02,-0.032,-0.056,-0.000331548,0.28
201631,-0.117,-0.014,-0.079,-0.047774324,0.293
201632,0.015,0.052,0.175,-0.001409205,0.288
201633,-0.025,0.066,0.017,-0.001488331,0.305
201634,0.002,-0.132,0.025,-0.009267109,0.325
201635,0,0.088,0.125,0.02117842,0.303
201636,0.077,0.156,0.388,0.018250651,0.345
201637,-0.018,0.04,0.021,-0.01227221,0.288
201638,-0.011,-0.061,-0.028,-0.003231106,0.255
201639,0.015,0.133,0.099,0.007714644,0.315
201640,-0.001,-0.077,-0.07,0.00303383,0.32
201641,0.022,-0.029,0.28,0.013361831,0.333
201642,-0.007,0.034,0.091,0.012433264,0.325
201643,0.066,-0.103,0.168,0.037733346,0.345
201644,-0.012,-0.055,0.003,-0.007907069,0.42
201645,0.034,-0.035,-0.027,0.001358715,0.488
201646,0.025,-0.079,0.061,0.026085845,0.475
201647,-0.009,-0.066,0.086,-0.008088309,0.468
201648,0.013,0.197,0.008,0.017451809,0.485
201649,0.015,-0.025,0.005,0.005533927,0.523
201650,0.007,0.021,0.066,0.007344125,0.513
201651,0.097,-0.054,0.243,0.053841358,0.495
201652,0.074,-0.105,-0.067,0.033880198,0.475
201701,-0.042,0.216,-0.119,-0.070204692,0.503
201702,-0.089,0.079,-0.039,0.050091456,0.513
201703,0.122,-0.038,-0.134,-0.000614245,0.493
201704,-0.001,0.059,0.023,0.050516363,0.5
201705,0.124,0.039,0.151,-0.010005756,0.525
201706,-0.036,-0.006,-0.054,0.018549803,0.535
201707,0.05,-0.126,-0.027,0.038218254,0.505
201708,0.075,-0.08,0.03,0.041492313,0.523
201709,0.116,-0.1,0.009,-0.030262667,0.735
201710,-0.033,0.016,0.049,-0.084189371,0.753
201711,-0.077,0.168,0.37,-0.00228612,0.753
201712,0.095,0.205,0.32,0.050757834,0.773
201713,0.114,0.203,-0.059,0.036306531,0.78
201714,0.063,0.122,-0.189,-0.001399882,0.8
201715,0.026,0.143,-0.015,0.022960322,0.805
201716,0.041,0.218,-0.113,0.032167184,0.808
201717,0.178,-0.023,-0.076,0.063108836,0.843
201718,0.301,0.04,0.153,0.05741191,0.89
201719,0.173,0.082,0.161,0.063248028,0.89
201720,0.299,0.119,0.15,0.002589263,0.913
201721,-0.037,0.184,-0.203,0.093494034,0.91
201722,0.322,0.364,0.22,0.056686883,0.958
201723,0.219,0.314,0.233,-0.03836204,0.983
201724,0,0.178,-0.027,-0.010764351,0.993
201725,-0.037,0.34,-0.105,-0.028676431,0.99
201726,-0.127,0.107,-0.023,0.024430337,1
201727,-0.005,-0.002,0.041,-0.113481349,1.033
201728,-0.276,0.106,0.026,0.157193699,1.04
201729,0.378,0.035,-0.424,-0.01606371,1.143
201730,-0.076,-0.092,0.02,0.076871375,1.058
201731,0.203,0.035,0.001,0.074300028,1.03
201732,0.188,-0.037,0.364,0.030209937,1.008
201733,0.084,0.051,0.189,0.020618405,0.995
201734,0.07,0.128,-0.206,0.021558347,1.01
201735,0.04,0.395,-0.123,-0.02327805,0.983
201736,-0.106,0.031,0.21,-0.06892653,1.018
201737,-0.161,-0.017,-0.051,0.01033738,1.018
201738,0.059,0.1,-0.056,0.06113628,1.043
201739,0.115,0.098,-0.149,0.007425706,1.035
201740,0.005,-0.034,-0.02,0.118301605,1.055
201741,0.174,-0.158,0.071,0.01335515,1.073
201742,-0.024,0.019,0.041,-0.020731863,1.098
201743,-0.022,0.035,-0.159,0.109205136,1.123
201744,0.179,-0.136,0.196,-0.065019577,1.188
201745,0.009,-0.046,-0.101,0.088947426,1.24
201746,0.17,0.032,-0.033,0.051211435,1.278
201747,0.173,0.011,-0.149,0.095690948,1.265
201748,0.167,0.062,0,0.133601175,1.283
201749,0.262,0.059,0.238,0.115046568,1.31
201750,0.377,0.397,-0.254,-0.128323037,1.353
201751,-0.02,0.149,-0.219,-0.060253863,1.303
201752,0.148,0.541,0.384,0.136825409,1.378
201801,0.346,0.918,0.447,-0.079729382,1.415
201802,-0.149,0.507,-0.254,-0.045895266,1.395
201803,-0.215,-0.029,-0.093,-0.04973507,1.413
201804,0.057,0.044,-0.088,-0.093745079,1.425
201805,-0.34,-0.004,0.052,-0.0332702,1.488
201806,0.001,-0.006,-0.022,0.11183144,1.57
201807,0.21,-0.032,0.006,-0.057320696,1.573
201808,-0.11,0.058,0.015,0.070028249,1.635
201809,0.092,-0.02,0.095,-0.114389214,1.643
201810,-0.176,-0.01,-0.01,-0.046358201,1.69
201811,-0.194,-0.03,0.039,0.035588981,1.758
201812,0.04,0.026,-0.164,-0.090587214,1.733
201813,-0.229,0.058,0.014,-0.002039107,1.713
201814,0.04,0.006,-0.068,0.064121076,1.695
201815,0.258,0.017,-0.012,0.047186977,1.755
201816,0.15,0.201,-0.054,0.020407313,1.823
201817,0.124,-0.014,0.079,0.022667448,1.81
201818,0.039,1.094,-0.014,-0.066245826,1.835
201819,-0.11,0.011,-0.045,-0.011148767,1.875
201820,-0.043,0.061,-0.035,-0.04924141,1.893
201821,-0.167,0,0.018,0.016513855,1.84
201822,0.075,-0.052,-0.053,-0.007493158,1.903
201823,-0.157,-0.036,0.059,-0.062674507,1.888
201824,-0.064,-0.003,0.048,-0.023205634,1.898
201825,-0.097,-0.012,0.045,0.016010249,1.893
201826,0.018,-0.032,-0.08,0.024194575,1.933
201827,0.058,-0.016,-0.028,-0.034086471,1.935
201828,-0.074,-0.023,0.06,0.073528582,1.975
201829,0.099,-0.023,0.057,0.045874128,1.96
201830,0.06,-0.065,0.032,-0.0696318,1.985
201831,-0.138,-0.045,0.016,-0.051384768,2.008
201832,-0.169,-0.023,0.064,0.010159842,2.033
201833,0.014,-0.038,-0.072,0.023565293,2.035
201834,-0.008,0.005,-0.029,0.028380025,2.078
201835,0.1,0.002,-0.02,-0.06541418,2.068
201836,-0.18,-0.012,0.028,0.022890432,2.108
201837,0.039,0.039,-0.046,0.01380827,2.125
201838,0.111,-0.049,-0.056,-0.008188763,2.168
201839,-0.014,-0.024,-0.019,-0.000500089,2.175
201840,-0.024,0.032,-0.088,-0.018466517,2.185
201841,-0.084,-0.003,0.004,0.016876889,2.26
201842,0.046,0.014,-0.031,-0.005185112,2.29
201843,0,0.049,-0.001,-0.007283144,2.283
201844,0.002,0.058,-0.056,0.002772542,2.31
201845,0.01,-0.009,0.031,-0.058139666,2.295
201846,-0.129,-0.03,0.051,-0.156545011,2.335
201847,-0.306,-0.04,0.028,0.029525799,2.353
201848,0.022,0.038,-0.025,-0.087511416,2.365
201849,-0.149,0.054,0.084,-0.02631707,2.37
201850,-0.101,0.015,0.132,0.089149774,2.328
201851,0.3,-0.01,-0.277,-0.029178313,2.333
201852,-0.093,-0.015,0.053,0.009112623,2.3
201901,0.079,-0.013,0.033,-0.022147193,2.4
201902,-0.09,0.027,-0.041,0.009623524,2.383
201903,-0.038,0.029,0.017,-0.01281042,2.345
201904,-0.05,-0.013,0.017,-0.008399544,2.365
201905,0.001,0.029,-0.01,0.019269033,2.365
201906,0.061,-0.015,-0.027,-0.005322683,2.378
201907,0.092,0.01,0.073,0.056614884,2.373
201908,-0.008,-0.032,-0.032,-0.032523721,2.4
201909,-0.042,0.02,-0.02,0.013554282,2.4
201910,0.054,0.037,0.078,0.006784368,2.395
201911,0.045,0.03,-0.02,-0.000422967,2.405
201912,-0.015,0.036,-0.007,0.011700642,2.405
201913,0.059,0.066,0.063,0.088932477,2.37
201914,0.25,-0.047,0.043,0.000481689,2.365
201915,-0.064,-0.02,-0.03,0.020025943,2.378
201916,0.045,-0.009,0.033,-0.001999484,2.39
201917,-0.069,-0.006,0.025,0.044262986,2.368
201918,0.082,-0.05,0.018,0.091011417,2.368
201919,0.252,-0.198,0.149,0.004345115,2.353
201920,0.082,-0.042,-0.106,0.043482779,2.33
201921,0.109,0.755,0.026,0.027172739,2.298
201922,-0.057,0.02,-0.074,-0.034043595,2.295
201923,-0.018,0.721,0.006,0.047395082,2.213
201924,0.131,-0.053,0.022,0.085164521,2.168
201925,0.133,-0.047,-0.031,0.045520465,2.083
201926,-0.057,-0.018,-0.004,-0.023937278,2.148
201927,0.117,0.097,0.029,0.00371878,2.195
201928,-0.154,-0.012,0.034,-0.021069516,2.103
201929,-0.036,0.001,-0.07,-0.057133798,2.033
201930,-0.07,0.056,-0.067,0.056692328,2.04
201931,0.193,4.163,-0.05,0.019580734,1.995
201932,-0.048,0.056,0.044,-0.044265218,1.955
201933,-0.042,0.014,0.023,-0.003717833,1.9
201934,-0.051,0.044,-0.059,-0.023634495,1.943
201935,-0.019,-0.015,-0.072,0.037559533,1.91
201936,0,-0.025,0.032,-0.005170233,1.913
201937,0.001,0.085,-0.013,-0.014711233,1.938
201938,-0.041,0.001,-0.036,-0.085432085,1.88
201939,-0.141,0.03,0.049,-0.004317512,1.753
201940,0.003,0.008,0.009,0.009361969,1.655
201941,0.022,0.029,0.028,-0.018542528,1.618
201942,-0.019,0.026,-0.071,0.0644642,1.615
201943,0.106,-0.05,-0.047,0.003281035,1.595
201944,0.021,0.034,-0.019,-0.023806269,1.518
201945,-0.055,0.005,-0.062,-0.015423746,1.533
201946,-0.051,0.047,-0.02,-0.064526686,1.525
201947,-0.149,-0.043,0.037,0.012997066,1.565
201948,0.023,0.014,-0.047,-0.002059351,1.538
201949,0.007,-0.01,-0.004,-0.025609652,1.515
201950,-0.069,-0.009,0.015,0.004600142,1.53
201951,0.034,0.024,0.016,0.009917597,1.538
201952,-0.012,0.018,-0.001,0.003267942,1.505
202001,0.128,-0.038,0.022,0.036528323,1.53
202002,0.129,-0.089,0.03,0.04578834,1.503
202003,-0.004,0.046,-0.025,-0.028935312,1.53
202004,0.059,0.118,-0.002,0.051027552,1.538
202005,0.004,0.068,-0.007,0.023160831,1.538
202006,0.138,-0.005,0.126,0.000535105,1.535
202007,0.01,0.078,0.043,-0.011189084,1.49
202008,-0.097,0.004,-0.062,-0.053137774,0.918
202009,-0.065,0.006,-0.006,0.017148283,0.39
202010,-0.107,-0.005,0.024,-0.234238203,0.165
202011,-0.353,-0.025,0.06,0.076867886,-0.033
202012,0.268,-0.017,-0.179,0.003321941,0.03
202013,-0.036,0.045,-0.043,0.041413585,0.128
202014,0.127,-0.001,-0.106,0.000658156,0.165
202015,-0.044,0.029,-0.013,0.02236871,0.098
202016,0.015,-0.013,0.05,0.018208035,0.085
202017,0.138,0.033,0.031,0.075218881,0.11
202018,0.116,0.169,0.03,0.027599245,0.123
202019,-0.036,0.016,0.061,-0.008032822,0.118
202020,0.099,0.003,0.075,-0.009478956,0.118
202021,-0.079,0.089,-0.032,0.023735078,0.145
202022,0.09,0.033,-0.03,-0.001027301,0.165
202023,0.028,0.055,0.091,-0.008998916,0.16
202024,-0.032,0.041,-0.006,-0.005189427,0.14
202025,0.016,0.097,0.001,-0.016577325,0.135
202026,-0.056,0.022,-0.025,0.006037185,0.14
202027,0.032,0.025,0.076,0.004676921,0.133
202028,0.011,0.05,0.031,-0.002978139,0.11
202029,0.015,0.091,0.012,0.024576456,0.103
202030,0.164,-0.098,-0.101,0.085040823,0.09